ProcedureSchema,ProcedureName,object_id,CallsView,TablesCalled,ViewsCalled,TIM GIUA SP VA FRONTEND,Note,BUILD,DEPLOYED,FE_API_Category,FE_API_Service/Usage,FE_API_Command,FE_API_Type,FE_API_Files,FE_API_Found OLD
dbo,JOB_BookingProduct,251968074,0,"[dbo].[Facility], [dbo].[INV_KetChuyen], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_20230206,267968131,0,"[dbo].[CN_ClinicalSessions], [dbo].[Facility], [dbo].[INV_KetChuyen], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Product], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[PreCoook_SoLuongDatTruoc_Vaccine], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part1,283968188,0,"[dbo].[Facility], [dbo].[INV_ApprovedInDetail], [dbo].[INV_ApprovedInMapping_ProductSub], [dbo].[INV_KetChuyen], [dbo].[INV_Mapping_ProductSub], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part1_20230206,299968245,0,"[dbo].[CN_ClinicalSessions], [dbo].[Facility], [dbo].[INV_KetChuyen], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Product], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[PreCoook_SoLuongDatTruoc_Vaccine], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part10,315968302,0,"[dbo].[Facility], [dbo].[INV_ApprovedInDetail], [dbo].[INV_ApprovedInMapping_ProductSub], [dbo].[INV_KetChuyen], [dbo].[INV_Mapping_ProductSub], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part2,331968359,0,"[dbo].[Facility], [dbo].[INV_ApprovedInDetail], [dbo].[INV_ApprovedInMapping_ProductSub], [dbo].[INV_KetChuyen], [dbo].[INV_Mapping_ProductSub], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part2_20230206,347968416,0,"[dbo].[CN_ClinicalSessions], [dbo].[Facility], [dbo].[INV_KetChuyen], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Product], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[PreCoook_SoLuongDatTruoc_Vaccine], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part3,363968473,0,"[dbo].[Facility], [dbo].[INV_ApprovedInDetail], [dbo].[INV_ApprovedInMapping_ProductSub], [dbo].[INV_KetChuyen], [dbo].[INV_Mapping_ProductSub], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part3_20260206,379968530,0,"[dbo].[CN_ClinicalSessions], [dbo].[Facility], [dbo].[INV_KetChuyen], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Product], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[PreCoook_SoLuongDatTruoc_Vaccine], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part4,395968587,0,"[dbo].[Facility], [dbo].[INV_ApprovedInDetail], [dbo].[INV_ApprovedInMapping_ProductSub], [dbo].[INV_KetChuyen], [dbo].[INV_Mapping_ProductSub], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part4_20230206,411968644,0,"[dbo].[CN_ClinicalSessions], [dbo].[Facility], [dbo].[INV_KetChuyen], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Product], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[PreCoook_SoLuongDatTruoc_Vaccine], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part5,427968701,0,"[dbo].[Facility], [dbo].[INV_ApprovedInDetail], [dbo].[INV_ApprovedInMapping_ProductSub], [dbo].[INV_KetChuyen], [dbo].[INV_Mapping_ProductSub], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part6,443968758,0,"[dbo].[Facility], [dbo].[INV_ApprovedInDetail], [dbo].[INV_ApprovedInMapping_ProductSub], [dbo].[INV_KetChuyen], [dbo].[INV_Mapping_ProductSub], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part7,459968815,0,"[dbo].[Facility], [dbo].[INV_ApprovedInDetail], [dbo].[INV_ApprovedInMapping_ProductSub], [dbo].[INV_KetChuyen], [dbo].[INV_Mapping_ProductSub], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part8,475968872,0,"[dbo].[Facility], [dbo].[INV_ApprovedInDetail], [dbo].[INV_ApprovedInMapping_ProductSub], [dbo].[INV_KetChuyen], [dbo].[INV_Mapping_ProductSub], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_BookingProduct_Part9,491968929,0,"[dbo].[Facility], [dbo].[INV_ApprovedInDetail], [dbo].[INV_ApprovedInMapping_ProductSub], [dbo].[INV_KetChuyen], [dbo].[INV_Mapping_ProductSub], [dbo].[INV_Product], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCook_INV_PastPeriodProducts], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,Job_Calculate_PatientAge,1310679767,0,"[dbo].[MDM_Patient], [dbo].[MDM_Patient_Age]",,BOQUA,,,,,,,,,
dbo,job_CN_PhysicianAdmission_ThongKePhongKham,1326679824,0,"[dbo].[CN_PhysicianAdmissions], [dbo].[CN_RoomStatistics_FacilityID], [dbo].[CN_RoomStatistics_FacilityID_RoomID], [dbo].[Facility], [dbo].[L_DepartmentRoom], [dbo].[TMP_CN_PhysicianAdmission_ThongKePhongKham]",,BOQUA,,,,,,,,,
dbo,JOB_Delete_DataViettelSendQueue,1342679881,0,,,BOQUA,,,,,,,,,
dbo,Job_Delete_HangDoiDoc,1358679938,0,[dbo].[CN_HangChoDoc],,BOQUA,,,,,,,,,
dbo,Job_Delete_InvoiceCurrentDay,1374679995,0,"[dbo].[BIL_Invoice_Cash_CurrentDay], [dbo].[BIL_Invoice_CurrentDay]",,BOQUA,,,,,,,,,
dbo,JOB_DongPhacDoVaccine,1390680052,0,,,BOQUA,,,,,,,,,
dbo,JOB_INV_PastPeriodProducts_ForLive_Part1,1406680109,0,"[dbo].[Facility], [dbo].[INV_ApprovedOut_Live], [dbo].[INV_ApprovedOutDetail_Live], [dbo].[INV_KetChuyen], [dbo].[INV_PastPeriodProducts_ForLive], [dbo].[L_InventoryStock]",,BOQUA,,,,,,,,,
dbo,JOB_INV_PastPeriodProducts_ForLive_Part2,1422680166,0,"[dbo].[Facility], [dbo].[INV_ApprovedOut_Live], [dbo].[INV_ApprovedOutDetail_Live], [dbo].[INV_KetChuyen], [dbo].[INV_PastPeriodProducts_ForLive], [dbo].[L_InventoryStock]",,BOQUA,,,,,,,,,
dbo,JOB_INV_PastPeriodProducts_ForLive_Part3,1438680223,0,"[dbo].[Facility], [dbo].[INV_ApprovedOut_Live], [dbo].[INV_ApprovedOutDetail_Live], [dbo].[INV_KetChuyen], [dbo].[INV_PastPeriodProducts_ForLive], [dbo].[L_InventoryStock]",,BOQUA,,,,,,,,,
dbo,JOB_INV_PastPeriodProducts_ForLive_Part4,1454680280,0,"[dbo].[Facility], [dbo].[INV_ApprovedOut_Live], [dbo].[INV_ApprovedOutDetail_Live], [dbo].[INV_KetChuyen], [dbo].[INV_PastPeriodProducts_ForLive], [dbo].[L_InventoryStock]",,BOQUA,,,,,,,,,
dbo,JOB_INV_ProductTemp_DeleteHistory,1470680337,0,,,BOQUA,,,,,,,,,
dbo,JOB_INV_UpdateXuat_ForLive_Part1,1486680394,0,"[dbo].[Facility], [dbo].[INV_ApprovedOut], [dbo].[INV_ApprovedOut_Live], [dbo].[INV_ApprovedOutDetail], [dbo].[INV_ApprovedOutDetail_Live]",,BOQUA,,,,,,,,,
dbo,JOB_INV_UpdateXuat_ForLive_Part2,1502680451,0,"[dbo].[Facility], [dbo].[INV_ApprovedOut], [dbo].[INV_ApprovedOut_Live], [dbo].[INV_ApprovedOutDetail], [dbo].[INV_ApprovedOutDetail_Live]",,BOQUA,,,,,,,,,
dbo,JOB_INV_UpdateXuat_ForLive_Part3,1518680508,0,"[dbo].[Facility], [dbo].[INV_ApprovedOut], [dbo].[INV_ApprovedOut_Live], [dbo].[INV_ApprovedOutDetail], [dbo].[INV_ApprovedOutDetail_Live]",,BOQUA,,,,,,,,,
dbo,JOB_INV_UpdateXuat_ForLive_Part4,1534680565,0,"[dbo].[Facility], [dbo].[INV_ApprovedOut], [dbo].[INV_ApprovedOut_Live], [dbo].[INV_ApprovedOutDetail], [dbo].[INV_ApprovedOutDetail_Live]",,BOQUA,,,,,,,,,
dbo,JOB_KetChuyenAutoProduct,1550680622,0,"[dbo].[Facility], [dbo].[INV_KetChuyen], [dbo].[INV_PastPeriodProducts], [dbo].[L_Customer], [dbo].[L_InventoryStock]",,BOQUA,,,,,,,,,
dbo,JOB_KetChuyenAutoProduct_TheoLich,1566680679,0,,,BOQUA,,,,,,,,,
dbo,job_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen,1582680736,0,"[dbo].[CN_ClinicalSessions], [dbo].[CN_ClinicalSessions_CongKhamTrongNgay], [dbo].[CN_DoctorDecision], [dbo].[CN_FacAdmissions], [dbo].[CN_PhysicianAdmissions], [dbo].[Facility], [dbo].[L_Billing_Config_Service], [dbo].[MDM_Patient], [dbo].[TMP_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen], [dbo].[TMP_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen_Ignore]",,BOQUA,,,,,,,,,
dbo,job_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen_20211009,1598680793,0,"[dbo].[CN_ClinicalSessions], [dbo].[CN_DoctorDecision], [dbo].[CN_FacAdmissions], [dbo].[CN_FacAdmissionsExt], [dbo].[CN_MedicareCard], [dbo].[CN_PhysicianAdmissions], [dbo].[Facility], [dbo].[L_CaiDatCauHinh], [dbo].[L_DepartmentRoom], [dbo].[L_DoiTuongTinhTien], [dbo].[L_DoiTuongUuTien], [dbo].[L_PayType], [dbo].[MDM_Patient], [dbo].[TMP_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen], [dbo].[TMP_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen_Ignore]",,BOQUA,,,,,,,,,
dbo,job_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen_20220115,1614680850,0,"[dbo].[CN_ClinicalSessions], [dbo].[CN_DoctorDecision], [dbo].[CN_FacAdmissions], [dbo].[CN_MedicareCard], [dbo].[CN_PhysicianAdmissions], [dbo].[Facility], [dbo].[L_CaiDatCauHinh], [dbo].[L_DepartmentRoom], [dbo].[L_DoiTuongTinhTien], [dbo].[L_DoiTuongUuTien], [dbo].[L_PayType], [dbo].[MDM_Patient], [dbo].[TMP_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen], [dbo].[TMP_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen_Ignore]",,BOQUA,,,,,,,,,
dbo,job_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen_VarTables,1630680907,0,"[dbo].[BIL_InvoiceDetail], [dbo].[CN_ClinicalSessions], [dbo].[CN_DoctorDecision], [dbo].[CN_FacAdmissions], [dbo].[CN_FacAdmissionsExt], [dbo].[CN_LabResult], [dbo].[CN_MedicareCard], [dbo].[CN_PhysicianAdmissions], [dbo].[CN_RadiologyResult], [dbo].[Facility], [dbo].[L_CaiDatCauHinh], [dbo].[L_DepartmentRoom], [dbo].[L_DoiTuongTinhTien], [dbo].[L_DoiTuongUuTien], [dbo].[L_PayType], [dbo].[MDM_Patient], [dbo].[TMP_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen], [dbo].[TMP_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen_Ignore]",,BOQUA,,,,,,,,,
dbo,job_MDM_Patient_Search_Update,1646680964,0,"[dbo].[MDM_Patient], [dbo].[MDM_Patient_Search]",,BOQUA,,,,,,,,,
dbo,job_MDM_Patient_Search_Update_Ext,1662681021,0,"[dbo].[MDM_Patient], [dbo].[MDM_Patient_Search]",,BOQUA,,,,,,,,,
dbo,JOB_PhacDoGoiY,1678681078,0,"[dbo].[L_Vaccine_Phacdo], [dbo].[MDM_Patient], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoGoiY]",,BOQUA,,,,,,,,,
dbo,job_Precook_BaoCaoDanhSachKhachHenTiem,1694681135,0,"[dbo].[Precook_BaoCaoDanhSachKhachHenTiem], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_PRECOOK_BenhNhanChuaXuatVienBV110,1710681192,0,"[dbo].[CN_FacAdmissions], [dbo].[MDM_Patient], [dbo].[PreCook_BenhNhanChuaXuatVienBV110]",,BOQUA,,,,,,,,,
dbo,JOB_PreCook_INV_PastPeriodProducts,1726681249,0,"[dbo].[Facility], [dbo].[INV_KetChuyen], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[PreCook_INV_PastPeriodProducts]",,BOQUA,,,,,,,,,
dbo,JOB_PRECOOK_QuanLyTapTrung_Char_Tab1,1742681306,0,"[dbo].[BIL_Invoice], [dbo].[BIL_InvoiceDetail], [dbo].[CN_ClinicalSessions], [dbo].[CN_FacAdmissions], [dbo].[INV_ApprovedOut], [dbo].[INV_ApprovedOutDetail], [dbo].[L_DepartmentRoom], [dbo].[MDM_Patient], [dbo].[PreCook_QuanLyTapTrung_Char_Tab1]",,BOQUA,,,,,,,,,
dbo,JOB_PRECOOK_QuanLyTapTrung_Char_Tab1_First,1758681363,0,"[dbo].[BIL_Invoice], [dbo].[BIL_InvoiceDetail], [dbo].[CN_ClinicalSessions], [dbo].[CN_FacAdmissions], [dbo].[Facility], [dbo].[INV_ApprovedOut], [dbo].[INV_ApprovedOutDetail], [dbo].[L_DepartmentRoom], [dbo].[MDM_Patient], [dbo].[PreCook_QuanLyTapTrung_Char_Tab1]",,BOQUA,,,,,,,,,
dbo,JOB_PRECOOK_QuanLyTapTrung_Char_Tab1_Second,1774681420,0,"[dbo].[BIL_Invoice], [dbo].[BIL_InvoiceDetail], [dbo].[CN_ClinicalSessions], [dbo].[CN_FacAdmissions], [dbo].[Facility], [dbo].[INV_ApprovedOut], [dbo].[INV_ApprovedOutDetail], [dbo].[L_DepartmentRoom], [dbo].[MDM_Patient], [dbo].[PreCook_QuanLyTapTrung_Char_Tab1]",,BOQUA,,,,,,,,,
dbo,JOB_PRECOOK_QuanLyTapTrung_Char_Tab1_Third,1790681477,0,"[dbo].[BIL_Invoice], [dbo].[BIL_InvoiceDetail], [dbo].[CN_ClinicalSessions], [dbo].[CN_FacAdmissions], [dbo].[Facility], [dbo].[INV_ApprovedOut], [dbo].[INV_ApprovedOutDetail], [dbo].[L_DepartmentRoom], [dbo].[MDM_Patient], [dbo].[PreCook_QuanLyTapTrung_Char_Tab1]",,BOQUA,,,,,,,,,
dbo,JOB_PRECOOK_ThongKe_SoLuong_GoiVatTu,1806681534,0,"[dbo].[Job_ThongKe_GoiVatTu], [dbo].[Job_ThongKe_SoLuong_GoiVatTu]",,BOQUA,,,,,,,,,
dbo,Job_PrecookData_ClinicalSessions_DaTiem,1822681591,0,"[dbo].[CN_ClinicalSessionID_Vaccine], [dbo].[CN_ClinicalSessions], [dbo].[CN_ClinicalSessions_DaTiem_LastMonth], [dbo].[Facility]",,BOQUA,,,,,,,,,
dbo,JOB_PrecookData_PhacDoBenhNhanDetail_DuTru,1838681648,0,"[dbo].[CN_ClinicalSessions], [dbo].[Facility], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail], [dbo].[Vaccine_PhacDoBenhNhan_Detail_DuTru]",,BOQUA,,,,,,,,,
dbo,JOB_PreCoook_SoLuongDatTruoc,1854681705,0,"[dbo].[BIL_Invoice], [dbo].[CN_ClinicalSessionID_AnotherSource_Vaccine], [dbo].[CN_ClinicalSessions], [dbo].[Facility], [dbo].[L_Customer], [dbo].[L_Vaccine_Phacdo], [dbo].[PreCoook_SoLuongDatTruoc_Vaccine], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,Job_Preecook_DanhSachVaccineTheoNgayHenTiem,1870681762,0,"[dbo].[BIL_Invoice], [dbo].[BIL_InvoiceDetail], [dbo].[CN_ClinicalSessions], [dbo].[L_Product], [dbo].[MDM_Patient], [dbo].[Preecook_DanhSachVaccineTheoNgayHenTiem], [dbo].[Vaccine_HopDong], [dbo].[Vaccine_PhacDoBenhNhan], [dbo].[Vaccine_PhacDoBenhNhan_Detail]",,BOQUA,,,,,,,,,
dbo,JOB_QAHosGenericDB_CLEANUP,507968986,0,,,BOQUA,,,,,,,,,
dbo,JOB_QuanLyTapTrung_MaxPatient,1886681819,0,"[dbo].[CN_FacAdmissions], [dbo].[L_Patient_Max]",,BOQUA,,,,,,,,,
dbo,Job_Rebuild_Index_QAHosGenericDB_Part1,1902681876,0,,,BOQUA,,,,,,,,,
dbo,Job_Rebuild_Index_QAHosGenericDB_Part2,1918681933,0,,,BOQUA,,,,,,,,,
dbo,Job_Rebuild_Index_QAHosGenericDB_Part3,1934681990,0,,,BOQUA,,,,,,,,,
dbo,Job_Rebuild_Index_QAHosGenericDB_Part4,1950682047,0,,,BOQUA,,,,,,,,,
dbo,Job_Reorganize_Index_QAHosGenericDB_Part1,1966682104,0,,,BOQUA,,,,,,,,,
dbo,Job_Reorganize_Index_QAHosGenericDB_Part2,1982682161,0,,,BOQUA,,,,,,,,,
dbo,Job_Reorganize_Index_QAHosGenericDB_Part3,1998682218,0,,,BOQUA,,,,,,,,,
dbo,Job_Reorganize_Index_QAHosGenericDB_Part4,2014682275,0,,,BOQUA,,,,,,,,,
dbo,Job_Reorganize_Index_QAHosGenericDB_Part5,2030682332,0,,,BOQUA,,,,,,,,,
dbo,Job_Reorganize_Index_QAHosGenericDB_Part6,2046682389,0,,,BOQUA,,,,,,,,,
dbo,Job_Reorganize_Index_QAHosGenericDB_Part7,2062682446,0,,,BOQUA,,,,,,,,,
dbo,Job_Reorganize_Rebuild_QAHosGenericDB,2078682503,0,,,BOQUA,,,,,,,,,
dbo,JOB_ResetSTTSauTiem,2094682560,0,[dbo].[L_CapSTTTheoDoiSauTiem_New],,BOQUA,,,,,,,,,
dbo,Job_sp_recompile,2110682617,0,,,BOQUA,,,,,,,,,
dbo,job_SPHistory_Insert,2126682674,0,,,BOQUA,,,,,,,,,
dbo,JOB_SyncDataProduction,2142682731,0,,,BOQUA,,,,,,,,,
dbo,Job_TableSizeInseasement_History_Insert,11199140,0,,,BOQUA,,,,,,,,,
dbo,Job_Truncate_Invoice_Temp,27199197,0,"[dbo].[BIL_Invoice_AnotherSource_Temp], [dbo].[BIL_Invoice_Other_Temp], [dbo].[BIL_Invoice_Postpaid_Temp], [dbo].[BIL_Invoice_QAPAY_Temp], [dbo].[BIL_Invoice_Techcom_Temp], [dbo].[BIL_Invoice_Temp], [dbo].[BIL_Invoice_Temp_Cash], [dbo].[BIL_Invoice_Temp_Credit], [dbo].[BIL_Invoice_Temp_Transfer], [dbo].[BIL_Invoice_Temp_VNPAY], [dbo].[BIL_Invoice_Temp_Voucher], [dbo].[BIL_InvoiceDetail_Temp]",,BOQUA,,,,,,,,,
dbo,Job_Truncate_TMP_DanhSachInOutXNT,43199254,0,[dbo].[TMP_DanhSachInOutXNT],,BOQUA,,,,,,,,,
dbo,Job_UpdateStatistic,59199311,0,,,BOQUA,,,,,,,,,
dbo,Job_UpdateStatistic_Static_1st,75199368,0,,,BOQUA,,,,,,,,,
dbo,Job_UpdateStatistic_Static_2nd,91199425,0,,,BOQUA,,,,,,,,,
dbo,Job_UpdateStatistic_Static_3rd,107199482,0,,,BOQUA,,,,,,,,,
dbo,Job_Vaccine_DanhSachChoKham_WEb,123199539,0,"[dbo].[CN_PhysicianAdmissions], [dbo].[Facility], [dbo].[MDM_Patient], [dbo].[TMP_DanhSachChoKham], [dbo].[Vaccine_DanhSachChoKham], [dbo].[Vaccine_DanhSachChoKham_DaGoi], [dbo].[Vaccine_DanhSachChoKham_DangKham]",,BOQUA,,,,,,,,,
